label	text_a
4	中国 有 那么 多 的 律师 ， 可以 组团 起诉 那个 不要脸 的 铁道部
1	姐才 不要 [ 拜拜 ] 姐 现在 172 ， 嘿嘿 ， 健 长乐 ， 姐爱 你 想长 高 的 GGMM 自觉 关注 ：
1	看 演唱会 的 孩纸 你 伤不起 啊 伤不起 ! ! !
0	本题 答案 选 AD ， B 错 在 应该 是 国家 集体 财产 遭受 损失 才 可以 由 检察院 提起 ， C 错 在 法定代理 人 只能 代为 提起 ， 原告人 还是 被害人 本人
4	从 武汉 & amp ; quot ; 黄五杠 & amp ; quot ; 到 西安 & amp ; quot ; 绿领巾 & amp ; quot ; = 我们 可以 清晰 地 看到 :   成人 的 拜权 拜金 恶潮 ,   已 开始 全面 地向 亿万 中小学生 覆盖 式 毒害 啦 !
3	感动 家教 的 力量 是 无穷的 ， 揪心 这 孩子 的 未来 ， 秀才 怎么 在 土匪 窝里 生存 啊 ！
2	这 司机 ， 杀 一万遍 都 不 解恨 ， 大白天 闯红灯 ， 撞人后 还 高速 拖行 ， 人渣 都 不配 ！
1	赞 一个 ！
0	这个 事件 引起 的 各方 争议 非常 大 。
5	原来 药农 处理 药材 居然 都 是 用 工业 硫磺 熏蒸 ！
2	嗯 嗯 结婚 真是 耗费 大量 人力 无力 财力 呀 还要 耗费 脑细胞
0	- … …
3	我 以为 一个 人 可以 过活 ， 我 以为 我会 很 安心 ， 虽然 我 不是 一个 人 ， 为什么 还是 会 孤独 ， 寂寞 。
1	你 是 好孩子 ， 当初 给 你 米 洛哥 助攻 了 不少 球 。
0	为何 不 紧握着 他 的 手 呢 。
1	白色 的 ， 很 好看
5	哇噻 ， 我 地个 冷汗 直冒 ， 送个 祝福 也 打 错别字 ， 还 错 得 离谱 ， 真是 哭笑不得 ， 还好 删得 快 ， 真是 的 ， 跟 某人 做 朋友 时间 长 了 ， 也 传染 了 这个 毛病 ！ ！ ！
4	我 就 想 说 ， 你 他妈的 早 干嘛 去 了 ？
2	选择 在 这个 时候 说 这些 也许 有人 会 说 我 在 泼冷水 ， 在 自黑 ， 但 扪心自问 ， 此时 的 贴 吧 ， 微博 除了 一派 歌舞升平 ， 花痴 成群 是 我们 要 的 结果 ？
1	有 骨气 ， 说明 人家 环保 …
1	还是 有个 女儿 好 啊 ， 心情 肯定 暖暖的
3	现在 去 敲个 洞 都 没 地方 了
